STRAATNAAM;POSTCODE6;POSTCODE4;HSNR_laag;HSNR_hoog;HSNR_aant;BUURTCODE;BUURTNAAM;WIJKCODE;WIJKNAAM;STADSDEELCODE;STADSDEELNAAM;x_rd;y_rd;latitude;longitude
Kleine Berg;5611JT;5611.0;51;151;76.0;112;Bergen;11;Wijk Centrum;1;Stadsdeel Centrum;161093.255045;383002.18965;51.4360900597;5.47483061272
Kleine Bleekstraat;5611VC;5611.0;1;13;13.0;211;Irisbuurt;21;Wijk Oud-Stratum;2;Stadsdeel Stratum;161863.9634;383065.628728;51.4366514241;5.48591572374
Klingelbeek;5655EP;5655.0;2;28;14.0;732;Hanevoet;73;Wijk Gestelse Ontginning;7;Stadsdeel Gestel;158658.653678;380902.6223;51.4172388162;5.43979573382
Klipperstraat;5616KA;5616.0;1;14;10.0;614;Schouwbroek;61;Wijk Oud-Strijp;6;Stadsdeel Strijp;159577.812199;383441.60975;51.4400542294;5.45304211392
Klokgebouw;5617AC;5617.0;210;290;61.0;616;Strijp S;61;Wijk Oud-Strijp;6;Stadsdeel Strijp;159890.549075;384446.74085;51.4490863875;5.45755408795
Kloosterdreef;5612CT;5612.0;102;110;23.0;412;Hemelrijken;41;Wijk Oud-Woensel;4;Stadsdeel Woensel-Zuid;160884.064333;384798.8641;51.4522419911;5.47185221331
Kloosterdreef;5622AB;5622.0;54;96;31.0;422;Kronehoef;42;Wijk Erp;4;Stadsdeel Woensel-Zuid;160807.67005;384984.558816;51.4539119316;5.47075623369
Kloosterdreef;5623DB;5623.0;29;31;2.0;422;Kronehoef;42;Wijk Erp;4;Stadsdeel Woensel-Zuid;160867.68715;384907.936326;51.4532225754;5.47161842326
Kluitpad;5652PJ;5652.0;2;8;4.0;623;Lievendaal;62;Wijk Halve Maan;6;Stadsdeel Strijp;158416.43235;383557.543476;51.4411045746;5.43633949303
Kluizenaarstraat;5641HE;5641.0;1;35;17.0;335;'t Hofke;33;Wijk Oud-Tongelre;3;Stadsdeel Tongelre;164361.53495;384497.606404;51.4494870007;5.52187282424
Klundertstraat;5652JR;5652.0;1;29;15.0;622;Het Ven;62;Wijk Halve Maan;6;Stadsdeel Strijp;158396.3376;383328.172567;51.4390429562;5.43604825242
Klundertstraat;5652JS;5652.0;4;36;20.0;622;Het Ven;62;Wijk Halve Maan;6;Stadsdeel Strijp;158365.965;383339.578612;51.4391456641;5.43561153218
Kneppelhoutstraat;5615KL;5615.0;1;10;7.0;711;Schrijversbuurt;71;Wijk Rozenknopje;7;Stadsdeel Gestel;160607.302059;382108.0055;51.4280575809;5.46782767155
Knotwilghof;5616PS;5616.0;1;7;4.0;612;Philipsdorp;61;Wijk Oud-Strijp;6;Stadsdeel Strijp;160243.14745;383519.7811;51.4407510792;5.46261257629
Knuvelderlaan;5611LW;5611.0;1;44;40.0;213;Elzent-Noord;21;Wijk Oud-Stratum;2;Stadsdeel Stratum;161495.736612;382500.9914;51.4315804542;5.48060961584
Kogelsmortel;5632PV;5632.0;2;40;20.0;544;Heesterakker;54;Wijk Dommelbeemd;5;Stadsdeel Woensel-Noord;162463.743;388364.029033;51.4842692667;5.49465399453
Kometenlaan;5632DS;5632.0;61;107;24.0;541;Eckart;54;Wijk Dommelbeemd;5;Stadsdeel Woensel-Noord;162399.70815;387266.055666;51.4744008253;5.49370897509
Kometenlaan;5632DT;5632.0;2;34;18.0;541;Eckart;54;Wijk Dommelbeemd;5;Stadsdeel Woensel-Noord;162513.32585;387068.141205;51.4726203368;5.49534009996
Kometenlaan;5632DV;5632.0;36;64;15.0;541;Eckart;54;Wijk Dommelbeemd;5;Stadsdeel Woensel-Noord;162444.23255;387316.142682;51.4748504522;5.49435089885
Koning Arthurlaan;5625CA;5625.0;1;91;31.0;513;Jagershoef;51;Wijk Ontginning;5;Stadsdeel Woensel-Noord;160483.2351;387022.974902;51.4722378077;5.46612038921
Koning Arthurlaan;5625CB;5625.0;2;38;20.0;513;Jagershoef;51;Wijk Ontginning;5;Stadsdeel Woensel-Noord;160426.9898;386951.173743;51.4715929578;5.46530975018
Koning Arthurlaan;5625CE;5625.0;110;148;20.0;513;Jagershoef;51;Wijk Ontginning;5;Stadsdeel Woensel-Noord;160747.366887;386847.03165;51.4706536776;5.46991911488
Koning Arthurlaan;5625CH;5625.0;190;228;20.0;513;Jagershoef;51;Wijk Ontginning;5;Stadsdeel Woensel-Noord;160809.16573;386862.7979;51.4707947599;5.47080880518
Koning Markweg;5625EX;5625.0;1;33;17.0;513;Jagershoef;51;Wijk Ontginning;5;Stadsdeel Woensel-Noord;160556.949382;387071.55255;51.4726737315;5.46718211542
Koningskinderen;5629KC;5629.0;1;51;26.0;534;Blixembosch-Oost;53;Wijk Aanschot;5;Stadsdeel Woensel-Noord;161669.15755;388609.908304;51.4864893717;5.4832193095
Korenbloemstraat;5643HK;5643.0;1;35;19.0;237;Kruidenbuurt;23;Wijk Putten;2;Stadsdeel Stratum;162945.86595;381033.228595;51.418368627;5.50142933894
Korfakker;5625SP;5625.0;2;100;74.0;516;Vlokhoven;51;Wijk Ontginning;5;Stadsdeel Woensel-Noord;161911.956972;386955.62165;51.4716166488;5.48668241441
Kortenaerstraat;5612GR;5612.0;1;22;15.0;412;Hemelrijken;41;Wijk Oud-Woensel;4;Stadsdeel Woensel-Zuid;160731.712893;384756.5864;51.4518635437;5.46965971767
Kosmoslaan;5632AT;5632.0;1;29;15.0;542;Luytelaer;54;Wijk Dommelbeemd;5;Stadsdeel Woensel-Noord;163112.9884;386860.603995;51.4707465313;5.50396621744
Kraanven;5646HJ;5646.0;1;21;12.0;235;Gijzenrooi;23;Wijk Putten;2;Stadsdeel Stratum;163690.6634;381379.318613;51.421468522;5.51214494237
Krabbendampad;5611GW;5611.0;1;16;24.0;111;Binnenstad;11;Wijk Centrum;1;Stadsdeel Centrum;161260.999836;383252.49545;51.438338135;5.47724747384
Kramersstraat;5612NV;5612.0;2;10;5.0;411;Limbeek-Noord;41;Wijk Oud-Woensel;4;Stadsdeel Woensel-Zuid;160531.6406;384178.4947;51.4466692745;5.46677230245
Kreeftstraat;5654AC;5654.0;27;71;23.0;723;Rapelenburg;72;Wijk Oud-Gestel;7;Stadsdeel Gestel;160445.221972;381875.65475;51.4259706461;5.46549354617
Kreeftstraat;5654AD;5654.0;2;22;16.0;723;Rapelenburg;72;Wijk Oud-Gestel;7;Stadsdeel Gestel;160357.55365;381891.637778;51.4261151535;5.46423327464
Kroezelstraat;5632XM;5632.0;1;37;24.0;543;Vaartbroek;54;Wijk Dommelbeemd;5;Stadsdeel Woensel-Noord;163039.2216;387657.736894;51.4779127316;5.50292277929
Kromhoutstraat;5622GV;5622.0;1;63;32.0;424;Mensfort;42;Wijk Erp;4;Stadsdeel Woensel-Zuid;160260.1665;386177.815948;51.4646430982;5.46289714043
Krommenbeemd;5641JX;5641.0;2;54;27.0;335;'t Hofke;33;Wijk Oud-Tongelre;3;Stadsdeel Tongelre;164522.3029;384854.888628;51.4526957896;5.52419524127
Kroonstraat;5632DX;5632.0;1;39;30.0;541;Eckart;54;Wijk Dommelbeemd;5;Stadsdeel Woensel-Noord;162627.4017;387153.252731;51.4733838389;5.49698383521
Kruburg;5632PJ;5632.0;48;92;23.0;544;Heesterakker;54;Wijk Dommelbeemd;5;Stadsdeel Woensel-Noord;162454.93365;388245.967665;51.4832081728;5.49452466303
Kruidenhof;5632MD;5632.0;2;58;29.0;543;Vaartbroek;54;Wijk Dommelbeemd;5;Stadsdeel Woensel-Noord;162312.992634;387570.22055;51.4771359888;5.49246716677
Kruisakker;5625SE;5625.0;44;84;35.0;516;Vlokhoven;51;Wijk Ontginning;5;Stadsdeel Woensel-Noord;161916.058899;386705.8119;51.4693711467;5.48673653436
Kruisstraat;5612CH;5612.0;165;187;51.0;412;Hemelrijken;41;Wijk Oud-Woensel;4;Stadsdeel Woensel-Zuid;160994.3171;384509.602565;51.4496407533;5.47343343465
Kruisstraat;5612CK;5612.0;80;92;19.0;413;Gildebuurt;41;Wijk Oud-Woensel;4;Stadsdeel Woensel-Zuid;161150.53295;384251.434831;51.447318485;5.4756761923
